Day of the month,Cyclist count,,,,Cyclist count throughout the day (June),,,,,,,,,,Cyclist count throughout the day (September),,,,,,,,,,,,Mean count,,,,,,,
,June,September,,,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:30,17:30-18:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:30,15:30-16:30,16:30-17:30,17:30-18:30,,Time,June,September,,,,,,
1,2749,1016,,,307,404,308,302,428,221,98,235,207,239,78,138,71,126,174,153,157,10,73,36,,08:30,"232,0333333","270,4666667",,,,,,
2,2184,2273,,,357,313,291,196,214,198,332,141,60,82,326,294,288,127,211,93,105,461,258,110,,09:30,"169,8","268,6",,,,,,
3,2716,3158,,,148,337,479,47,390,330,401,132,78,374,540,400,237,353,102,154,340,323,439,270,,10:30,"230,7666667","256,7666667",,,,,,
4,2995,2738,,,364,62,370,288,301,510,467,110,420,103,128,106,278,359,550,161,88,305,144,619,,11:30,"229,6666667","248,2666667",,,,,,
5,1298,2788,,,82,45,98,237,138,127,170,50,152,199,284,210,588,302,188,481,317,127,109,182,,12:30,"209,7","233,3666667",,,,,,
6,3263,923,,,472,210,120,417,32,306,492,377,265,572,147,74,58,54,121,57,10,164,159,79,,13:30,"208,5666667","230,0333333",,,,,,
7,1894,1350,,,251,250,142,372,38,352,225,62,119,83,222,62,183,78,216,24,180,121,215,49,,14:30,"227,4","222,9",,,,,,
8,1579,3103,,,56,124,134,46,71,148,41,389,440,130,297,498,262,254,243,422,476,467,128,56,,15:30,"232,5333333","213,5666667",,,,,,
9,2177,3440,,,261,66,154,397,240,73,298,371,103,214,439,571,13,378,531,535,242,164,421,146,,16:30,"213,8666667","203,6666667",,,,,,
10,1876,2528,,,179,85,374,96,243,182,52,187,150,328,454,420,413,255,142,291,117,257,80,99,,17:30,"234,1666667","207,1666667",,,,,,
11,2385,2957,,,259,244,333,251,321,326,135,190,205,121,58,252,126,245,477,438,213,441,295,412,,,,,,,,,,
12,2053,2646,,,364,225,282,169,164,320,117,153,168,91,221,361,403,220,324,217,255,47,231,367,,,,,,,,,,
13,2117,2755,,,273,72,108,265,301,56,126,298,275,343,201,448,331,225,94,240,436,326,283,171,,,,,,,,,,
14,1819,3258,,,140,95,124,55,171,237,147,159,327,364,556,256,180,376,422,154,545,64,399,306,,,,,,,,,,
15,2676,3424,,,386,269,224,374,137,139,307,98,323,419,485,354,539,100,48,112,442,440,633,271,,,,,,,,,,
16,1967,3523,,,246,85,51,337,281,172,87,359,275,74,108,306,603,404,490,127,606,122,383,374,,,,,,,,,,
17,1674,2417,,,73,197,176,98,275,49,400,84,212,110,555,58,268,488,125,87,35,251,241,309,,,,,,,,,,
18,2044,2422,,,88,198,202,344,110,143,289,77,321,272,281,387,263,413,258,186,262,120,135,117,,,,,,,,,,
19,1572,2134,,,85,23,266,192,79,171,217,270,34,235,155,184,138,280,257,106,164,300,224,326,,,,,,,,,,
20,1752,2137,,,269,44,148,305,22,296,110,192,144,222,424,331,406,279,17,372,119,23,108,58,,,,,,,,,,
21,841,2795,,,123,105,57,101,174,15,27,52,102,85,227,375,202,365,131,394,184,229,381,307,,,,,,,,,,
22,1029,3241,,,62,72,143,195,10,122,87,173,137,28,282,302,273,458,433,439,116,449,129,360,,,,,,,,,,
23,3339,2951,,,382,136,485,435,315,194,264,535,273,320,393,304,274,283,378,413,284,343,168,111,,,,,,,,,,
24,2294,2831,,,183,89,342,280,164,92,364,222,292,266,419,525,525,146,89,325,508,129,120,45,,,,,,,,,,
25,2963,2036,,,297,423,340,41,381,191,48,417,355,470,101,168,258,381,353,191,59,384,114,27,,,,,,,,,,
26,2305,967,,,471,137,268,115,304,107,86,364,210,243,143,152,11,186,74,40,9,136,36,180,,,,,,,,,,
27,2197,1102,,,70,109,363,109,207,176,242,314,212,395,112,26,116,41,169,176,86,116,11,249,,,,,,,,,,
28,2751,1267,,,197,331,111,158,264,261,485,425,109,410,139,227,156,73,105,248,48,5,22,244,,,,,,,,,,
29,1601,1738,,,154,236,26,252,103,226,214,189,60,141,234,207,168,187,201,160,246,41,76,218,,,,,,,,,,
30,3545,726,,,362,108,404,416,413,517,494,351,388,92,105,62,72,12,78,105,38,42,95,117,,,,,,,,,,
Sum,65655,70644,,Mean,"232,0333333","169,8","230,7666667","229,6666667","209,7","208,5666667","227,4","232,5333333","213,8666667","234,1666667","270,4666667","268,6","256,7666667","248,2666667","233,3666667","230,0333333","222,9","213,5666667","203,6666667","207,1666667",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0